"","GIS_STATION","LATITUDE","LONGITUDE","AVG_CPUE"
"1","L-18",58.65212,-168.49452,68180.5154720995
"2","K-24",58.36181,-172.3055,5446.87082860106
"3","T-30",61.31605,-176.97018,38624.0453454432
"4","K-20",58.35132,-169.73129,27068.0379603761
"5","Q-28",60.35098,-175.38496,18457.7797752554
"6","H-19",57.34728,-168.97741,1958.47686834588
"7","I-24",57.68323,-172.17982,1809.88077888209
"8","J-01",57.97731,-167.797,86339.7331084711
"9","U-26",61.66818,-174.50598,177376.585097275
"10","N-24",59.34436,-172.53118,14998.5693543164
"11","Q-19",60.33367,-169.2765,39935.6250202096
"12","P-31",60.00034,-177.23564,3659.90327887815
"13","L-24",58.68972,-172.3724,3520.71567926723
"14","O-22",59.64869,-171.24742,53858.9517263626
"15","P-32",60.00555,-177.91649,1964.24455699105
"16","ON2625",59.51101,-173.53215,7512.20838383451
"17","K-05",58.31802,-165.28929,5907.32826804417
"18","QP2423",60.17837,-172.3602,10942.4246681163
"19","M-24",59.02333,-172.44581,3903.630066209
"20","J-02",57.97537,-167.16836,61194.9001337932
"21","K-01",58.31946,-167.82176,32212.008145937
"22","J-20",58.01521,-169.71634,73328.076846912
"23","J-03",58.02069,-166.53482,35603.2605056318
"24","M-01",58.97753,-167.88273,12327.6706837346
"25","S-22",60.9629,-171.49421,200201.910195663
"26","IH1918",57.5145,-168.76034,28698.9050788636
"27","U-29",61.64726,-176.45493,48008.9128575665
"28","PO2524",59.84152,-172.89374,88801.1071653399
"29","PO2423",59.82496,-172.27451,125712.661397534
"30","L-19",58.68444,-169.16121,53698.4976569658
"31","O-21",59.64789,-170.57606,49923.0675686695
"32","I-19",57.68445,-169.03645,53623.4533781102
"33","P-18",60.00184,-168.65472,30722.5508214084
"34","P-27",59.9701,-174.57522,9800.65319204723
"35","O-29",59.63903,-175.84694,3022.08998587559
"36","PO2625",59.84089,-173.58757,20614.5583219161
"37","R-22",60.64257,-171.41286,157694.283664722
"38","IH2221",57.47854,-170.58083,1837.99328651891
"39","K-21",58.31489,-170.37946,57287.6574286735
"40","J-18",57.9978,-168.43709,71667.5954082877
"41","N-23",59.36984,-171.82025,28022.0145473621
"42","I-03",57.66072,-166.48364,21130.1808379495
"43","O-26",59.68236,-173.84341,7310.30149474572
"44","J-22",57.98968,-170.96212,3497.12343844723
"45","Q-18",60.3354,-168.59445,12324.0661285743
"46","K-23",58.35867,-171.66093,3016.96298331407
"47","T-26",61.33421,-174.29617,159447.743491141
"48","L-01",58.6548,-167.89785,9649.91861096501
"49","R-25",60.64583,-173.46889,51655.3220915459
"50","QP2625",60.10622,-173.77616,83556.0949743204
"51","F-19",56.67826,-168.91257,4583.40106684628
"52","E-18",56.32526,-168.25663,1894.58046705634
"53","G-02",57.00212,-167.04825,3320.88029709829
"54","I-21",57.64441,-170.28211,7329.42861622455
"55","GF2120",56.83107,-169.81659,3450.88126072463
"56","I-20",57.67356,-169.67251,47289.545897237
"57","H-02",57.32951,-167.13548,14312.6348407298
"58","T-25",61.30959,-173.57693,138551.882994424
"59","K-06",58.29758,-164.63049,3622.43219541052
"60","K-25",58.30773,-172.93426,2672.84121701083
"61","Q-27",60.30591,-174.69375,14922.7010595076
"62","R-23",60.69308,-172.11238,149700.778048312
"63","P-23",59.98513,-171.9437,30975.6243196998
"64","J-04",58.00637,-165.90858,21042.1197382643
"65","L-21",58.65614,-170.41127,47842.5802807832
"66","J-25",58.00612,-172.82052,2379.5039047294
"67","R-26",60.68245,-174.12747,93787.2817121677
"68","N-01",59.3004,-167.94232,5705.79485331779
"69","T-27",61.30722,-175.02071,90234.6550185758
"70","I-02",57.66047,-167.09467,36173.744759853
"71","J-06",57.97226,-164.61412,3077.98658333684
"72","P-20",60.02068,-169.9721,51988.8642637268
"73","V-28",61.98552,-175.83644,138072.312241565
"74","Q-31",60.31173,-177.37122,2990.4505798092
"75","QP2726",60.18902,-174.34583,23036.859476749
"76","K-19",58.34852,-169.12617,74009.8665845942
"77","I-04",57.69132,-165.89603,26055.3872552034
"78","G-19",57.00297,-168.94852,3422.81984244276
"79","G-01",56.9715,-167.70558,2245.30715330531
"80","N-19",59.35133,-169.23705,34161.1033352153
"81","P-21",59.97874,-170.62746,60713.4567463733
"82","P-30",59.97384,-176.70327,3352.80837411111
"83","K-03",58.35787,-166.55479,5259.64037051801
"84","K-04",58.34977,-165.91967,6803.42286041967
"85","S-25",60.99605,-173.4858,148930.638371923
"86","Q-25",60.30442,-173.37309,21107.9342863409
"87","N-22",59.32023,-171.1868,61028.5129190116
"88","Q-29",60.31361,-176.01383,20881.7866229315
"89","ON2524",59.51123,-172.90396,16360.8681546177
"90","JI2019",57.84992,-169.32576,52765.5453000216
"91","M-25",58.97738,-173.08979,2452.2294846545
"92","L-27",58.65757,-174.26722,6147.61016010679
"93","M-18",58.97706,-168.53159,22918.8899745562
"94","J-23",58.01783,-171.60112,2918.39961631837
"95","H-04",57.35931,-165.86777,8608.43324786192
"96","S-27",60.96936,-174.87605,79779.2909145952
"97","L-03",58.68973,-166.56097,3719.37418454277
"98","S-23",61.01419,-172.13649,164339.362367159
"99","S-24",60.99848,-172.75286,189876.103995973
"100","N-21",59.30746,-170.52361,93097.2915754558
"101","U-27",61.64331,-175.08282,128098.562691252
"102","JI2221",57.82272,-170.62398,3912.37406897474
"103","PO2726",59.86083,-174.2113,4705.89403845264
"104","O-23",59.68853,-171.90492,51653.7888165451
"105","H-03",57.33959,-166.50618,8553.6342565315
"106","M-23",59.01448,-171.78045,13763.424762525
"107","V-26",62.02863,-174.50045,308177.154160668
"108","M-19",59.02391,-169.18559,51224.9442593101
"109","P-28",60.02245,-175.2744,4756.16703147085
"110","U-28",61.66501,-175.8452,175401.666472666
"111","M-20",59.00916,-169.83605,80239.3512635316
"112","S-28",61.0209,-175.53737,41874.5020058187
"113","O-20",59.68665,-169.92705,91222.5764049898
"114","K-22",58.31831,-171.01813,16579.7814173231
"115","M-22",58.97291,-171.13063,53455.357652267
"116","L-22",58.65537,-171.08429,38802.496615631
"117","O-30",59.66808,-176.56299,3492.9731865375
"118","R-28",60.69381,-175.46187,18900.6834593781
"119","H-05",57.30736,-165.23705,4659.2415935551
"120","T-28",61.34065,-175.74807,85347.5210984495
"121","O-28",59.69123,-175.12804,2924.63849146148
"122","N-28",59.34938,-175.09002,3014.99643937063
"123","T-29",61.32219,-176.31273,42344.8883797088
"124","R-27",60.64384,-174.81954,51711.5168813088
"125","R-30",60.64364,-176.79332,19505.5119175197
"126","O-18",59.63102,-168.62151,20778.1408373929
"127","P-29",59.9745,-175.91489,5371.67850384871
"128","U-25",61.68338,-173.66521,224912.36576039
"129","H-06",57.29902,-164.62833,2581.05412548201
