"model","period","ersst.year","borealization_index","annual.events"
"CIESM","historical",1955,-1.5352931668723,0
"CIESM","historical",1955,-1.5352931668723,0
"CIESM","historical",1955,-1.5352931668723,0
"CIESM","historical",1955,-1.5352931668723,1
"CIESM","historical",1955,-1.5352931668723,1
"CIESM","historical",1955,-1.5352931668723,1
"CIESM","historical",1955,-1.5352931668723,1
"CIESM","historical",1955,-1.5352931668723,1
"CIESM","historical",1955,-1.54763214422467,0
"CIESM","historical",1955,-1.54763214422467,0
"CIESM","historical",1955,-1.54763214422467,0
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,0
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,0
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
"CIESM","historical",1955,-1.54763214422467,1
