"model","period","ersst.year","borealization_index","annual.events"
"CanESM5","historical",1950,-2.15485584204385,0
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-2.15485584204385,0
"CanESM5","historical",1950,-2.15485584204385,0
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-2.15485584204385,0
"CanESM5","historical",1950,-2.15485584204385,0
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-2.15485584204385,1
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-0.193439268305983,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,0
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.30883265300343,1
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,1
"CanESM5","historical",1950,-1.97470620947431,0
"CanESM5","historical",1950,-1.97470620947431,1
